PERIODO,TIPO_GOBIERNO_NOMBRE,TIPO,DEPARTAMENTO_META_NOMBRE,MONTO_PIM,MONTO_DEVENGADO
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,SAN MARTIN,6266041,6166108
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,TUMBES,306310,236664
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,UCAYALI,2547009,2196318
2019,TRES NIVELES DE GOBIERNO,MITIGACION,AMAZONAS,6000,6000
2019,TRES NIVELES DE GOBIERNO,MITIGACION,ANCASH,1679,0
2019,TRES NIVELES DE GOBIERNO,MITIGACION,AYACUCHO,45000,36581
2019,TRES NIVELES DE GOBIERNO,MITIGACION,CAJAMARCA,74267,34057
2019,TRES NIVELES DE GOBIERNO,MITIGACION,CUSCO,1645942,1249831
2019,TRES NIVELES DE GOBIERNO,MITIGACION,LA LIBERTAD,73500,33500
2019,TRES NIVELES DE GOBIERNO,MITIGACION,LIMA,514744,28000
2019,TRES NIVELES DE GOBIERNO,MITIGACION,NACIONAL,2512185,1454969
2019,TRES NIVELES DE GOBIERNO,MITIGACION,PUNO,21000,21000
2019,TRES NIVELES DE GOBIERNO,MITIGACION,SAN MARTIN,130053,46000
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,AMAZONAS,28140,24931
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,ANCASH,2833741,667045
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,APURIMAC,4544340,4300459
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,AREQUIPA,964058,233580
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,AYACUCHO,6366559,4763080
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,CAJAMARCA,803501,483383
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,CUSCO,17402720,16552127
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,HUANCAVELICA,537770,329922
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,HUANUCO,100492,24380
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,JUNIN,721822,640312
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,LA LIBERTAD,1025882,806085
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,LIMA,548140,255334
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,LORETO,8825,0
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,MADRE DE DIOS,32967,19000
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,MOQUEGUA,46264,39732
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,PASCO,95948,69673
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,PIURA,1897878,842146
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,PUNO,156000,155605
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,SAN MARTIN,92112,92111
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,TUMBES,30000,0
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,UCAYALI,1732366,1210382
2020,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,NACIONAL,39969525,31509287
2020,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,AMAZONAS,2040006,2029377
2020,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,CAJAMARCA,109003,106502
2020,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,HUANCAVELICA,3670941,3670180
2020,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,HUANUCO,3009704,3005126
2020,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,LIMA,24500,23127
2020,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,LORETO,7814847,7814810
2020,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,NACIONAL,16669001,16649122
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,AMAZONAS,542695,542692
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,ANCASH,11518683,3249509
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,APURIMAC,14547325,14531960
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,AYACUCHO,1548775,1481569
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,CAJAMARCA,1433128,1357588
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,CUSCO,6993889,6934383
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,HUANCAVELICA,4184325,4080799
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,HUANUCO,2096620,1984039
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,ICA,74723,0
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,LORETO,30152126,23668940
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,PIURA,2934046,2933897
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,SAN MARTIN,3117636,3111445
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,TUMBES,311405,289795
2020,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,NAICONAL,79455376,64166616
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,AMAZONAS,2610841,2597000
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,ANCASH,14352424,3916554
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,APURIMAC,19091665,18832419
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,AREQUIPA,964058,233580
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,AYACUCHO,7915334,6244649
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,CAJAMARCA,2345632,1947473
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,CUSCO,24396609,23486510
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,HUANCAVELICA,8393036,8080901
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,HUANUCO,5206816,5013545
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,ICA,74723,0
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,JUNIN,721822,640312
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,LA LIBERTAD,1025882,806085
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,LIMA,572640,278461
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,LORETO,37975798,31483750
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,MADRE DE DIOS,32967,19000
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,MOQUEGUA,46264,39732
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,NACIONAL,56638526,48158409
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,NAICONAL,79455376,64166616
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,PASCO,95948,69673
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,PIURA,4831924,3776043
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,PUNO,156000,155605
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,SAN MARTIN,3209748,3203556
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,TUMBES,341405,289795
2020,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,UCAYALI,1732366,1210382
2020,GOBIERNOS LOCALES,ADAPTACION,LAMBAYEQUE,0,0
2020,GOBIERNO NACIONAL,ADAPTACION,LAMBAYEQUE,0,0
2020,TRES NIVELES DE GOBIERNO,ADAPTACION,LAMBAYEQUE,0,0
2020,GOBIERNO REGIONAL,ADAPTACION,LAMBAYEQUE,0,0
