Departamento,Year,Poblacion,Electores,PIM,Devengado,PIM_GN,Devengado_GN,PIM_GR,Devengado_GR,PIM_GL,Devengado_GL,Educacion,Salud,Saneamiento,Ambiente,Transportes,Turismo,Otros,PIM_CC,Devengado_CC,PIM_CC_GN,Devengado_CC_GN,PIM_CC_GR,Devengado_CC_GR,PIM_CC_GL,Devengado_CC_GL,Asignacion_Presupuestal_FONDES,Devengado_FONDES,Marco_Presupuestal_GN_Fondes,Devengado_GN_Fondes,Marco_Presupuestal_GR_Fondes,Devengado_GR_Fondes,Marco_Presupuestal_GL_Fondes,Devengado GL Fondes,PIM_CC_GN_ENTRE_PIM,PIM_CC_GR_ENTRE_PIM,PIM_CC_GL_ENTRE_PIM,AP_GN_Fondes_Entre_PIM,AP_GR_Fondes_Entre_PIM,AP_GL_Fondes_Entre_PIM
AYACUCHO,2016,696152,370683,1579456042,1068288281,377402007,277671956,367847580,270392967,834206455,520223358,180726910,165974865,144317286,17194278,246022503,4615145,309437294,58807292,41002405,0,0,14238996,6163049,44568296,34839356,0,0,0,0,0,0,0,0,0,0.03871,0.05343,0,0,0
CAJAMARCA,2016,1533783,817826,2196422656,1343265086,622856383,405775224,306204250,150003394,1267362023,787486468,219237877,38781525,299975233,6547310,516339230,1212836,261171075,66125734,50231057,398700,398694,2298135,1376131,63428899,48456231,0,0,0,0,0,0,0,0,0.00064,0.00751,0.05005,0,0,0
CALLAO,2016,1024439,668669,1398826506,886319342,958056338,592262687,302837728,219659030,137932440,74397625,9380402,6567163,14837093,14674337,405321167,0,435539180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSCO,2016,1324371,773014,3155809150,2394079507,799748056,574784843,632474491,421559603,1723586603,1397735061,306458103,69953114,294802167,89605963,856249791,16900104,760110265,58926310,51594636,10277,10277,5750149,5304732,53165884,46279628,0,0,0,0,0,0,0,0,0.00001,0.00909,0.03085,0,0,0
HUANCAVELICA,2016,498556,204276,1205347337,931728780,423940282,385944397,199772391,160966725,581634664,384817657,166456528,40842268,125952146,20385690,367295293,2759383,208037472,15865759,9407765,0,0,3846755,3676466,12019004,5731299,0,0,0,0,0,0,0,0,0,0.01926,0.02066,0,0,0
HUANUCO,2016,866631,431645,1261681966,917810338,325996813,247553968,222468813,199654161,713216340,470602209,254403825,63968152,147718314,19501576,258714072,1008961,172495438,26787462,20933541,0,0,7712515,6995767,19074947,13937774,0,0,0,0,0,0,0,0,0,0.03467,0.02674,0,0,0
ICA,2016,794919,525605,721976254,422460298,176681288,71053837,128624442,99205575,416670524,252200886,30151382,8524037,141740945,11653920,94184290,18600678,117605046,14782294,10120571,0,0,420454,307413,14361840,9813158,0,0,0,0,0,0,0,0,0,0.00327,0.03447,0,0,0
JUNIN,2016,1360506,785493,1600304819,1002166969,392560053,234662737,419021898,280832012,788722868,486672220,228193671,101824687,122183620,9706154,338782703,1545503,199930631,44254784,25495207,0,0,0,0,44254784,25495207,0,0,0,0,0,0,0,0,0,0,0.05611,0,0,0
LA LIBERTAD,2016,1882405,1136638,1836173279,1332065924,145605064,89090545,668665921,540239000,1021902294,702736380,193859591,36171666,211127723,12967126,209066980,696021,668176817,16642305,13975822,0,0,0,0,16642305,13975822,0,0,0,0,0,0,0,0,0,0,0.01629,0,0,0
LAMBAYEQUE,2016,1270794,751693,1165446782,650897582,348110460,100418047,342644343,276153957,474691979,274325578,151792978,1225415,68535978,6077712,120114535,9402372,293748592,22353797,5904945,0,0,0,0,22353797,5904945,0,0,0,0,0,0,0,0,0,0,0.04709,0,0,0
LIMA,2016,9989369,6533063,7533952964,5163239221,5535346088,3963581562,196589101,161456859,1802017775,1038200800,491024976,160054825,71820347,55754209,2567758926,2715789,1814110149,15860634,7939935,3203646,1601710,1244222,431424,11412766,5906801,0,0,0,0,0,0,0,0,0.00058,0.00633,0.00633,0,0,0
LORETO,2016,1049364,523205,953584567,557929359,225815218,108255942,225728762,129479373,502040587,320194044,154218551,76122023,57650417,14943178,129691735,560140,124743315,10866909,9688965,199374,0,11500,11500,10656035,9677465,0,0,0,0,0,0,0,0,0.00088,0.00005,0.02123,0,0,0
MADRE DE DIOS,2016,140508,97938,477882946,386639130,264754140,235431424,142178363,107700606,70950443,43507099,63309781,1500688,7537506,3165490,261112246,0,50013419,8968560,2408122,0,0,939292,934410,8029268,1473712,0,0,0,0,0,0,0,0,0,0.00661,0.11317,0,0,0
MOQUEGUA,2016,182333,122115,660241471,455420729,97215515,43590528,230390413,185283526,332635543,226546675,91535025,73769247,58426880,4488652,85260165,3168328,138772432,8779883,4709541,0,0,23734,22500,8756149,4687041,0,0,0,0,0,0,0,0,0,0.0001,0.02632,0,0,0
